V[m^3/mol]	dV[m^3/mol]	P[Pa]	dP[Pa]	T[K]	dT[K]
1.31249e-5	4e-10	1.26e9	2e7	300.7	0.4
1.31007e-5	4e-10	1.29e9	2e7	300.6	0.4
1.30673e-5	2e-10	1.34e9	2e7	300.7	0.4
1.30401e-5	3e-10	1.38e9	2e7	300.5	0.4
1.30415e-5	4e-10	1.38e9	2e7	300.7	0.4
1.29970e-5	2e-10	1.47e9	4e7	300.5	0.4
1.29474e-5	2e-10	1.52e9	2e7	300.7	0.4
1.29364e-5	2e-10	1.54e9	3e7	298.7	0.4
1.29118e-5	2e-10	1.58e9	3e7	298.8	0.4
1.28847e-5	2e-10	1.63e9	3e7	299.0	0.4
1.28617e-5	2e-10	1.64e9	2e7	300.7	0.4
1.28674e-5	2e-10	1.65e9	3e7	299.0	0.4
1.28343e-5	3e-10	1.69e9	3e7	299.1	0.4
1.28139e-5	2e-10	1.72e9	4e7	299.3	0.4
1.27945e-5	2e-10	1.76e9	2e7	300.6	0.4
1.27607e-5	1e-10	1.83e9	2e7	300.6	0.4
1.26870e-5	2e-10	1.93e9	2e7	300.5	0.4
1.26095e-5	2e-10	2.08e9	2e7	300.6	0.4
1.25493e-5	3e-10	2.17e9	2e7	300.7	0.4
1.25032e-5	2e-10	2.26e9	3e7	300.7	0.4
1.24265e-5	2e-10	2.39e9	3e7	300.7	0.4
1.23579e-5	1e-10	2.55e9	3e7	300.7	0.4
1.22116e-5	2e-10	2.81e9	4e7	300.7	0.4
1.30484e-5	2e-10	1.26e9	2e7	310.5	0.4
1.30246e-5	2e-10	1.31e9	2e7	310.4	0.4
1.29940e-5	2e-10	1.36e9	2e7	310.2	0.4
1.29795e-5	3e-10	1.40e9	2e7	316.2	0.4
1.29512e-5	2e-10	1.44e9	2e7	316.5	0.4
1.28600e-5	2e-10	1.58e9	2e7	316.6	0.4
1.28443e-5	2e-10	1.64e9	3e7	321.9	0.4
1.28062e-5	2e-10	1.71e9	3e7	322.4	0.4
1.27679e-5	2e-10	1.78e9	3e7	322.2	0.4
1.27556e-5	2e-10	1.82e9	4e7	327.5	0.4
1.27409e-5	2e-10	1.86e9	5e7	328.2	0.4
1.27026e-5	2e-10	1.92e9	5e7	328.4	0.4
1.26855e-5	2e-10	1.98e9	5e7	333.7	0.4
1.26650e-5	3e-10	2.03e9	5e7	334.4	0.4
1.26473e-5	3e-10	2.06e9	5e7	334.4	0.4
1.26155e-5	2e-10	2.19e9	6e7	340.0	0.4
1.25919e-5	3e-10	2.23e9	4e7	340.5	0.4
1.25651e-5	2e-10	2.27e9	3e7	340.7	0.4
1.25633e-5	3e-10	2.28e9	3e7	340.7	0.4
1.25236e-5	3e-10	2.38e9	4e7	340.7	0.4
1.24620e-5	2e-10	2.48e9	4e7	340.6	0.4
1.24196e-5	2e-10	2.56e9	3e7	340.7	0.4
