V[m^3/mol]	dV[m^3/mol]	P[Pa]	dP[Pa]	T[K]	dT[K]
1.1188e-5	3e-10	2.71e9	2e7	300.6	0.4
1.1003e-5	3e-10	3.17e9	2e7	300.5	0.4
1.0969e-5	3e-10	3.29e9	2e7	300.5	0.4
1.0877e-5	3e-10	3.56e9	2e7	300.5	0.4
1.0715e-5	3e-10	4.20e9	3e7	300.6	0.4
1.0541e-5	3e-10	4.81e9	2e7	300.8	0.4
1.0283e-5	3e-10	5.79e9	5e7	300.5	0.4
1.0173e-5	3e-10	6.29e9	4e7	300.5	0.4
1.0022e-5	3e-10	6.85e9	2e7	300.5	0.4
9.9465e-6	3e-10	7.31e9	2e7	300.5	0.4
9.8465e-6	6e-10	7.64e9	2e7	300.5	0.4
9.7577e-6	6e-10	8.12e9	2e7	300.6	0.4
9.6661e-6	6e-10	8.54e9	2e7	300.6	0.4
9.5969e-6	6e-10	9.03e9	1e7	300.6	0.4
9.5541e-6	6e-10	9.22e9	2e7	300.6	0.4
1.0389e-5	3e-10	5.49e9	4e7	300.5	0.4
9.5081e-6	6e-10	9.78e9	2e7	300.5	0.4
1.1188e-5	3e-10	2.88e9	2e7	340.4	0.4
1.1192e-5	3e-10	2.88e9	2e7	340.3	0.4
1.1200e-5	3e-10	2.81e9	2e7	340.5	0.4
1.1213e-5	3e-10	2.78e9	3e7	340.5	0.4
1.1236e-5	3e-10	2.76e9	3e7	340.6	0.4
1.1260e-5	3e-10	2.67e9	2e7	340.6	0.4
1.1328e-5	3e-10	2.55e9	3e7	340.7	0.4
1.1369e-5	3e-10	2.48e9	3e7	340.7	0.4
1.1442e-5	3e-10	2.33e9	3e7	340.6	0.4
1.1463e-5	3e-10	2.28e9	3e7	340.6	0.4
1.1508e-5	3e-10	2.19e9	5e7	340.6	0.4
1.1509e-5	3e-10	2.18e9	5e7	340.6	0.4
1.1508e-5	3e-10	2.15e9	2e7	340.7	0.4
1.1509e-5	3e-10	2.14e9	2e7	340.7	0.4
1.1503e-5	3e-10	2.22e9	3e7	340.6	0.4
1.1506e-5	3e-10	2.20e9	2e7	340.6	0.4
1.0563e-5	3e-10	4.87e9	3e7	340.7	0.4
1.0407e-5	3e-10	5.59e9	4e7	340.7	0.4
1.0228e-5	3e-10	6.26e9	2e7	340.7	0.4
1.0081e-5	3e-10	6.93e9	2e7	340.7	0.4
9.8977e-6	3e-10	7.64e9	2e7	340.7	0.4
9.7532e-6	3e-10	8.49e9	2e7	340.7	0.4
9.6640e-6	3e-10	8.93e9	3e7	340.7	0.4
9.6240e-6	3e-10	9.25e9	3e7	340.7	0.4
9.5430e-6	3e-10	9.66e9	3e7	340.7	0.4
9.5056e-6	3e-10	9.96e9	3e7	340.7	0.4
1.1360e-5	3e-10	2.73e9	3e7	380.1	0.4
1.1347e-5	3e-10	2.75e9	4e7	380.1	0.4
1.1318e-5	3e-10	2.79e9	3e7	380.1	0.4
1.1287e-5	3e-10	2.86e9	4e7	380.1	0.4
1.1262e-5	3e-10	2.90e9	5e7	380.1	0.4
1.1254e-5	3e-10	2.93e9	3e7	380.1	0.4
1.1205e-5	3e-10	3.04e9	3e7	380.1	0.4
1.1153e-5	3e-10	3.15e9	3e7	380.1	0.4
1.1110e-5	3e-10	3.24e9	3e7	380.2	0.4
1.1123e-5	3e-10	3.24e9	3e7	380.2	0.4
1.1071e-5	3e-10	3.34e9	3e7	380.2	0.4
1.1010e-5	3e-10	3.47e9	3e7	380.2	0.4
1.0990e-5	3e-10	3.52e9	5e7	380.2	0.4
1.0956e-5	3e-10	3.62e9	2e7	380.3	0.4
1.0915e-5	3e-10	3.75e9	4e7	380.2	0.4
1.0890e-5	3e-10	3.80e9	2e7	380.3	0.4
1.0859e-5	3e-10	3.88e9	5e7	380.2	0.4
1.0834e-5	3e-10	4.00e9	3e7	380.2	0.4
1.0740e-5	3e-10	4.28e9	4e7	380.3	0.4
1.0749e-5	3e-10	4.28e9	3e7	380.3	0.4
1.0702e-5	3e-10	4.38e9	4e7	380.4	0.4
1.0681e-5	3e-10	4.46e9	3e7	380.3	0.4
1.0666e-5	3e-10	4.60e9	3e7	380.3	0.4
1.0582e-5	3e-10	4.94e9	3e7	380.3	0.4
1.0483e-5	3e-10	5.28e9	3e7	380.3	0.4
1.0273e-5	3e-10	6.04e9	3e7	380.2	0.4
1.0046e-5	3e-10	6.88e9	2e7	380.3	0.4
