rho	V	P	T	f	phase
5.12652e+3	1.17203e-5	7.11345895321879e+10	300	-7.38027936231517e+5	seifertite
5.50394e+3	1.09166e-5	1.1789195720637e+11	300	-6.63020320600925e+5	seifertite
5.76963e+3	1.04139e-5	1.55406951981401e+11	300	-5.94635881137667e+5	seifertite
6.01252e+3	9.9932e-6	1.93095776254105e+11	300	-5.21551781316975e+5	seifertite
5.09764e+3	1.17867e-5	7.1387411525153e+10	1000	-7.802716217361e+5	seifertite
5.44464e+3	1.10355e-5	1.13458363418179e+11	1000	-7.11590101983008e+5	seifertite
5.74903e+3	1.04512e-5	1.5569133440377e+11	1000	-6.33427226123342e+5	seifertite
5.99381e+3	1.00244e-5	1.93344988298441e+11	1000	-5.59172775679953e+5	seifertite
5.04859e+3	1.19012e-5	7.24009263871641e+10	2000	-8.99807014726926e+5	seifertite
5.40234e+3	1.11219e-5	1.14482253836408e+11	2000	-8.27786869668636e+5	seifertite
5.70672e+3	1.05287e-5	1.56054195737096e+11	2000	-7.48019810636768e+5	seifertite
5.95484e+3	1.009e-5	1.93708286954552e+11	2000	-6.71541589889847e+5	seifertite
4.99765e+3	1.20225e-5	7.35704543774952e+10	3000	-1.05923628705732e+6	seifertite
5.34896e+3	1.12329e-5	1.14491067200944e+11	3000	-9.85781297356111e+5	seifertite
5.66229e+3	1.06113e-5	1.56543172570492e+11	3000	-9.02067440006654e+5	seifertite
5.91369e+3	1.01602e-5	1.94178673723181e+11	3000	-8.23217093224324e+5	seifertite
4.94708e+3	1.21454e-5	7.49688821298395e+10	4000	-1.24541153533846e+6	seifertite
5.29517e+3	1.1347e-5	1.14673625108237e+11	4000	-1.17048545004654e+6	seifertite
5.61667e+3	1.06975e-5	1.57058358318012e+11	4000	-1.0828130813482e+6	seifertite
5.87145e+3	1.02333e-5	1.94669979449421e+11	4000	-1.00144558386134e+6	seifertite
