rho	V	P	T	f	phase
4.36783e+3	1.37561e-5	6.19872170882023e+9	300	-8.1819496828631e+5	stishovite
4.79283e+3	1.25363e-5	4.39714156403059e+10	300	-7.89298983201104e+5	stishovite
5.13756e+3	1.16951e-5	8.19690290124176e+10	300	-7.37173175567788e+5	stishovite
5.42008e+3	1.10855e-5	1.18262707739637e+11	300	-6.76580567736397e+5	stishovite
4.54495e+3	1.322e-5	2.43504938176887e+10	1000	-8.53953839819196e+5	stishovite
4.85581e+3	1.23737e-5	5.38368888319013e+10	1000	-8.21517953647574e+5	stishovite
5.10205e+3	1.17765e-5	8.10349904587584e+10	1000	-7.81551504027282e+5	stishovite
5.25847e+3	1.14262e-5	1.00134094444135e+11	1000	-7.49895341478013e+5	stishovite
4.47102e+3	1.34386e-5	2.46247193635994e+10	2000	-9.80090100926432e+5	stishovite
4.80014e+3	1.25172e-5	5.45859064753083e+10	2000	-9.4437890720495e+5	stishovite
5.05573e+3	1.18844e-5	8.20207046298885e+10	2000	-9.0150283882478e+5	stishovite
5.26538e+3	1.14112e-5	1.07345842723471e+11	2000	-8.56881748363875e+5	stishovite
4.58085e+3	1.31164e-5	4.09344542434095e+10	3000	-1.12900698390367e+6	stishovite
4.83502e+3	1.24269e-5	6.49960027064075e+10	3000	-1.0928441651778e+6	stishovite
5.00677e+3	1.20006e-5	8.33266780639864e+10	3000	-1.06133483953377e+6	stishovite
5.26538e+3	1.14112e-5	1.14171392803288e+11	3000	-1.00347873953093e+6	stishovite
4.56887e+3	1.31508e-5	4.72216341134764e+10	4000	-1.31486833042299e+6	stishovite
4.77599e+3	1.25805e-5	6.63034487834344e+10	4000	-1.28269266567413e+6	stishovite
4.95455e+3	1.21271e-5	8.47268363250947e+10	4000	-1.24857493063455e+6	stishovite
5.26538e+3	1.14112e-5	1.21270007132736e+11	4000	-1.1754469280915e+6	stishovite
