rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]	Fe_x_frac	O_x_frac	V[m3/mol]	Molar_Mass
11214.45795	0.	152968593000.00	0.	4001.14	0.	1.000000000	0.000000000	4.97973E-06	0.055845
11534.85194	0.	174231446000.00	0.	3999.28	0.	1.000000000	0.000000000	4.84141E-06	0.055845
11888.82143	0.	198573114000.00	0.	3999.61	0.	1.000000000	0.000000000	4.69727E-06	0.055845
12213.20374	0.	226053210000.00	0.	4000.75	0.	1.000000000	0.000000000	4.57251E-06	0.055845
12572.39294	0.	254870974000.00	0.	3999.60	0.	1.000000000	0.000000000	4.44188E-06	0.055845
10905.82071	0.	146104020000.00	0.	5000.69	0.	1.000000000	0.000000000	5.12066E-06	0.055845
11214.45795	0.	165111622000.00	0.	5000.54	0.	1.000000000	0.000000000	4.97973E-06	0.055845
11534.85194	0.	187658331000.00	0.	4999.28	0.	1.000000000	0.000000000	4.84141E-06	0.055845
11888.82143	0.	212328465000.00	0.	4999.74	0.	1.000000000	0.000000000	4.69727E-06	0.055845
12451.11667	0.	258707741000.00	0.	4999.51	0.	1.000000000	0.000000000	4.48514E-06	0.055845
10805.46103	0.	152116823000.00	0.	5999.87	0.	1.000000000	0.000000000	5.16822E-06	0.055845
10905.82071	0.	157787757000.00	0.	5999.74	0.	1.000000000	0.000000000	5.12066E-06	0.055845
11007.42708	0.	164846569000.00	0.	6000.99	0.	1.000000000	0.000000000	5.07339E-06	0.055845
11888.82143	0.	226393278000.00	0.	6001.39	0.	1.000000000	0.000000000	4.69727E-06	0.055845
12451.11667	0.	271672334000.00	0.	6000.51	0.	1.000000000	0.000000000	4.48514E-06	0.055845
12819.71168	0.	304910982000.00	0.	5998.21	0.	1.000000000	0.000000000	4.35618E-06	0.055845
13073.56005	0.	328675735000.00	0.	6000.15	0.	1.000000000	0.000000000	4.2716E-06	0.055845
10501.33722	0.	147979523625.46	0.	4000.62	0.	0.907407407	0.092592593	4.8396E-06	0.050822306
10819.53824	0.	170465232000.00	0.	3998.57	0.	0.907407407	0.092592593	4.69727E-06	0.050822306
10983.46787	0.	182653826000.00	0.	3997.22	0.	0.907407407	0.092592593	4.62716E-06	0.050822306
11150.72595	0.	195549774000.00	0.	3999.40	0.	0.907407407	0.092592593	4.55776E-06	0.050822306
11495.5697	0.	220492246000.00	0.	4001.51	0.	0.907407407	0.092592593	4.42103E-06	0.050822306
11854.78067	0.	253091045000.00	0.	4000.00	0.	0.907407407	0.092592593	4.28707E-06	0.050822306
12229.11494	0.	286806403000.00	0.	4000.89	0.	0.907407407	0.092592593	4.15584E-06	0.050822306
10195.49253	0.	141505323492.17	0.	4999.74	0.	0.907407407	0.092592593	4.98478E-06	0.050822306
10501.33722	0.	160477191369.54	0.	5001.60	0.	0.907407407	0.092592593	4.8396E-06	0.050822306
10819.53824	0.	182774387000.00	0.	5001.43	0.	0.907407407	0.092592593	4.69727E-06	0.050822306
10983.46787	0.	195779889000.00	0.	4997.95	0.	0.907407407	0.092592593	4.62716E-06	0.050822306
11150.72595	0.	208231115000.00	0.	4998.31	0.	0.907407407	0.092592593	4.55776E-06	0.050822306
11495.5697	0.	234986993000.00	0.	4997.10	0.	0.907407407	0.092592593	4.42103E-06	0.050822306
11854.78067	0.	266935967000.00	0.	4999.34	0.	0.907407407	0.092592593	4.28707E-06	0.050822306
12229.11494	0.	302078539000.00	0.	4997.93	0.	0.907407407	0.092592593	4.15584E-06	0.050822306
10195.49253	0.	152970091269.58	0.	5999.03	0.	0.907407407	0.092592593	4.98478E-06	0.050822306
10501.33722	0.	172939395101.63	0.	5998.94	0.	0.907407407	0.092592593	4.8396E-06	0.050822306
10819.53824	0.	196100550000.00	0.	6006.33	0.	0.907407407	0.092592593	4.69727E-06	0.050822306
10983.46787	0.	207656828000.00	0.	5996.74	0.	0.907407407	0.092592593	4.62716E-06	0.050822306
11150.72595	0.	220251625000.00	0.	5997.07	0.	0.907407407	0.092592593	4.55776E-06	0.050822306
11495.5697	0.	249150075000.00	0.	5997.14	0.	0.907407407	0.092592593	4.42103E-06	0.050822306
11854.78067	0.	280356178000.00	0.	5996.08	0.	0.907407407	0.092592593	4.28707E-06	0.050822306
12229.11494	0.	316458229000.00	0.	6000.96	0.	0.907407407	0.092592593	4.15584E-06	0.050822306
9750.25903	0.	145708854000.00	0.	4000.71	0.	0.814814815	0.185185185	4.69727E-06	0.045799611
9897.987734	0.	155806403000.00	0.	4000.78	0.	0.814814815	0.185185185	4.62716E-06	0.045799611
10048.71594	0.	166691345000.00	0.	4000.37	0.	0.814814815	0.185185185	4.55776E-06	0.045799611
10359.47929	0.	189562281000.00	0.	3997.69	0.	0.814814815	0.185185185	4.42103E-06	0.045799611
10683.18996	0.	217278139000.00	0.	4000.89	0.	0.814814815	0.185185185	4.28707E-06	0.045799611
11020.52932	0.	246324662000.00	0.	3999.93	0.	0.814814815	0.185185185	4.15584E-06	0.045799611
11372.22222	0.	279633316000.00	0.	3999.92	0.	0.814814815	0.185185185	4.02732E-06	0.045799611
9463.505354	0.	138231023292.24	0.	4998.45	0.	0.814814815	0.185185185	4.8396E-06	0.045799611
9750.25903	0.	157306653000.00	0.	4999.43	0.	0.814814815	0.185185185	4.69727E-06	0.045799611
9897.987734	0.	167670835000.00	0.	4997.73	0.	0.814814815	0.185185185	4.62716E-06	0.045799611
10048.71594	0.	178610805000.00	0.	5001.45	0.	0.814814815	0.185185185	4.55776E-06	0.045799611
10359.47929	0.	202865432000.00	0.	4998.76	0.	0.814814815	0.185185185	4.42103E-06	0.045799611
10683.18996	0.	229836418000.00	0.	4999.44	0.	0.814814815	0.185185185	4.28707E-06	0.045799611
11020.52932	0.	261035017000.00	0.	4998.47	0.	0.814814815	0.185185185	4.15584E-06	0.045799611
11372.22222	0.	294446223000.00	0.	4999.19	0.	0.814814815	0.185185185	4.02732E-06	0.045799611
9463.505354	0.	149568394635.12	0.	6000.97	0.	0.814814815	0.185185185	4.8396E-06	0.045799611
9750.25903	0.	168672836000.00	0.	5999.44	0.	0.814814815	0.185185185	4.69727E-06	0.045799611
9897.987734	0.	179731865000.00	0.	6000.15	0.	0.814814815	0.185185185	4.62716E-06	0.045799611
10048.71594	0.	190507753000.00	0.	5999.42	0.	0.814814815	0.185185185	4.55776E-06	0.045799611
10359.47929	0.	215440720000.00	0.	5999.77	0.	0.814814815	0.185185185	4.42103E-06	0.045799611
10683.18996	0.	243102051000.00	0.	5997.66	0.	0.814814815	0.185185185	4.28707E-06	0.045799611
11020.52932	0.	274091045000.00	0.	6002.96	0.	0.814814815	0.185185185	4.15584E-06	0.045799611
11372.22222	0.	308800900000.00	0.	6000.46	0.	0.814814815	0.185185185	4.02732E-06	0.045799611
8946.705936	0.	141428714000.00	0.	3997.62	0.	0.722222222	0.277777778	4.55776E-06	0.040776917
9223.388876	0.	161894447000.00	0.	3999.71	0.	0.722222222	0.277777778	4.42103E-06	0.040776917
9511.59925	0.	184491745000.00	0.	4000.77	0.	0.722222222	0.277777778	4.28707E-06	0.040776917
9811.943701	0.	210119559000.00	0.	3998.50	0.	0.722222222	0.277777778	4.15584E-06	0.040776917
10125.06759	0.	239300150000.00	0.	4002.01	0.	0.722222222	0.277777778	4.02732E-06	0.040776917
10451.6579	0.	271721360000.00	0.	4001.76	0.	0.722222222	0.277777778	3.90148E-06	0.040776917
10792.44642	0.	308627813000.00	0.	4002.32	0.	0.722222222	0.277777778	3.77828E-06	0.040776917
8946.705936	0.	152954977000.00	0.	4996.88	0.	0.722222222	0.277777778	4.55776E-06	0.040776917
9223.388876	0.	173411705000.00	0.	5001.84	0.	0.722222222	0.277777778	4.42103E-06	0.040776917
9511.59925	0.	196557278000.00	0.	4998.44	0.	0.722222222	0.277777778	4.28707E-06	0.040776917
9811.943701	0.	223554277000.00	0.	4998.66	0.	0.722222222	0.277777778	4.15584E-06	0.040776917
10125.06759	0.	252113556000.00	0.	5000.03	0.	0.722222222	0.277777778	4.02732E-06	0.040776917
10451.6579	0.	285229614000.00	0.	4999.81	0.	0.722222222	0.277777778	3.90148E-06	0.040776917
10792.44642	0.	323363681000.00	0.	4996.56	0.	0.722222222	0.277777778	3.77828E-06	0.040776917
8680.979823	0.	143932114000.00	0.	5996.30	0.	0.722222222	0.277777778	4.69727E-06	0.040776917
8946.705936	0.	163849924000.00	0.	6001.62	0.	0.722222222	0.277777778	4.55776E-06	0.040776917
9223.388876	0.	186166083000.00	0.	5997.33	0.	0.722222222	0.277777778	4.42103E-06	0.040776917
9511.59925	0.	209143071000.00	0.	5998.01	0.	0.722222222	0.277777778	4.28707E-06	0.040776917
9811.943701	0.	235774387000.00	0.	5999.57	0.	0.722222222	0.277777778	4.15584E-06	0.040776917
10125.06759	0.	266421210000.00	0.	6001.71	0.	0.722222222	0.277777778	4.02732E-06	0.040776917
10451.6579	0.	299799899000.00	0.	6002.80	0.	0.722222222	0.277777778	3.90148E-06	0.040776917
